"State or other
geographic area",Beer,Wine,Spirits,All beverages,"U.S. decile for all beverages
"
Hawaii.1982,1.80 ,0.48 ,1.14 ,3.42 ,1 
Hawaii.1981,1.74 ,0.44 ,1.16 ,3.34 ,2 
Hawaii.1980,1.65 ,0.46 ,1.21 ,3.31 ,2 
Hawaii.1979,1.60 ,0.44 ,1.28 ,3.32 ,3 
Hawaii.1978,1.38 ,0.46 ,1.30 ,3.15 ,3 
Hawaii.1977,1.61 ,0.36 ,1.26 ,3.23 ,2 
Idaho.2009,1.05 ,0.92 ,0.70 ,2.68 ,3 
Idaho.2008,1.15 ,0.81 ,0.69 ,2.65 ,3 
Idaho.2007,1.18 ,0.74 ,0.67 ,2.59 ,4 
Idaho.2006,1.14 ,0.74 ,0.65 ,2.53 ,4 
Idaho.2005,1.10 ,0.73 ,0.61 ,2.44 ,4 
Idaho.2004,1.12 ,0.71 ,0.57 ,2.40 ,5 
Idaho.2003,1.14 ,0.64 ,0.54 ,2.33 ,5 
Idaho.2002,1.16 ,0.64 ,0.53 ,2.32 ,5 
Idaho.2001,1.14 ,0.63 ,0.53 ,2.30 ,5 
Idaho.2000,1.16 ,0.65 ,0.51 ,2.32 ,4 
Idaho.1999,1.17 ,0.68 ,0.52 ,2.36 ,4 
Idaho.1998,1.15 ,0.59 ,0.51 ,2.25 ,4 
Idaho.1997,1.14 ,0.36 ,0.50 ,2.00 ,7 
Idaho.1996,1.18 ,0.30 ,0.51 ,1.98 ,7 
Idaho.1995,1.15 ,0.30 ,0.53 ,1.98 ,7 
Idaho.1994,1.24 ,0.35 ,0.53 ,2.12 ,7 
Idaho.1993,1.26 ,0.29 ,0.55 ,2.11 ,7 
Idaho.1992,1.32 ,0.31 ,0.57 ,2.20 ,7 
Idaho.1991,1.31 ,0.32 ,0.56 ,2.19 ,7 
Idaho.1990,1.36 ,0.33 ,0.58 ,2.27 ,7 
Idaho.1989,1.23 ,0.30 ,0.56 ,2.09 ,8 
Idaho.1988,1.25 ,0.36 ,0.58 ,2.18 ,7 
Idaho.1987,1.31 ,0.38 ,0.58 ,2.26 ,7 
Idaho.1986,1.34 ,0.38 ,0.61 ,2.33 ,7 
Idaho.1985,1.35 ,0.36 ,0.71 ,2.42 ,7 
Idaho.1984,1.40 ,0.31 ,0.72 ,2.43 ,7 
Idaho.1983,1.44 ,0.30 ,0.76 ,2.51 ,7 
Idaho.1982,1.47 ,0.31 ,0.81 ,2.58 ,7 
Idaho.1981,1.54 ,0.33 ,0.83 ,2.70 ,6 
Idaho.1980,1.53 ,0.30 ,0.77 ,2.60 ,7 
Idaho.1979,1.55 ,0.27 ,0.84 ,2.65 ,6 
Idaho.1978,1.50 ,0.26 ,0.80 ,2.56 ,7 
Idaho.1977,1.50 ,0.22 ,0.79 ,2.52 ,7 
Illinois.2009,1.22 ,0.39 ,0.73 ,2.33 ,6 
Illinois.2008,1.21 ,0.38 ,0.73 ,2.32 ,6 
Illinois.2007,1.22 ,0.41 ,0.73 ,2.36 ,6 
Illinois.2006,1.23 ,0.37 ,0.73 ,2.33 ,6 
Illinois.2005,1.22 ,0.34 ,0.70 ,2.26 ,6 
Illinois.2004,1.22 ,0.31 ,0.67 ,2.21 ,6 
Illinois.2003,1.25 ,0.35 ,0.74 ,2.34 ,5 
Illinois.2002,1.27 ,0.33 ,0.65 ,2.25 ,6 
Illinois.2001,1.27 ,0.32 ,0.68 ,2.27 ,5 
Illinois.2000,1.28 ,0.32 ,0.63 ,2.24 ,6 
Illinois.1999,1.29 ,0.33 ,0.66 ,2.27 ,5 
Illinois.1998,1.28 ,0.34 ,0.64 ,2.25 ,4 
Illinois.1997,1.26 ,0.35 ,0.65 ,2.26 ,5 
Illinois.1996,1.27 ,0.35 ,0.68 ,2.30 ,4 
Illinois.1995,1.30 ,0.33 ,0.66 ,2.29 ,4 
Illinois.1994,1.32 ,0.34 ,0.69 ,2.35 ,4 
Illinois.1993,1.32 ,0.34 ,0.72 ,2.38 ,4 
Illinois.1992,1.34 ,0.35 ,0.74 ,2.43 ,4 
Illinois.1991,1.38 ,0.34 ,0.76 ,2.48 ,4 
Illinois.1990,1.43 ,0.36 ,0.82 ,2.62 ,4 
Illinois.1989,1.38 ,0.35 ,0.82 ,2.56 ,4 
Illinois.1988,1.42 ,0.37 ,0.85 ,2.64 ,4 
Illinois.1987,1.41 ,0.39 ,0.87 ,2.66 ,4 
Illinois.1986,1.40 ,0.39 ,0.90 ,2.68 ,4 
Illinois.1985,1.38 ,0.37 ,0.98 ,2.72 ,5 
Illinois.1984,1.40 ,0.37 ,1.01 ,2.77 ,5 
Illinois.1983,1.42 ,0.35 ,1.03 ,2.80 ,5 
Illinois.1982,1.41 ,0.35 ,1.06 ,2.83 ,5 
Illinois.1981,1.43 ,0.35 ,1.12 ,2.91 ,5 
Illinois.1980,1.43 ,0.33 ,1.24 ,3.00 ,4 
Illinois.1979,1.45 ,0.33 ,1.17 ,2.94 ,4 
Illinois.1978,1.38 ,0.31 ,1.19 ,2.88 ,4 
Illinois.1977,1.35 ,0.30 ,1.22 ,2.87 ,4 
Indiana.2009,1.09 ,0.25 ,0.73 ,2.06 ,8 
Indiana.2008,1.11 ,0.24 ,0.74 ,2.09 ,8 
Indiana.2007,1.14 ,0.24 ,0.72 ,2.10 ,8 
Indiana.2006,1.10 ,0.25 ,0.66 ,2.00 ,8 
Indiana.2005,1.11 ,0.22 ,0.68 ,2.01 ,8 
Indiana.2004,1.14 ,0.22 ,0.66 ,2.02 ,8 
Indiana.2003,1.11 ,0.21 ,0.64 ,1.96 ,9 
Indiana.2002,1.13 ,0.20 ,0.60 ,1.93 ,9 
Indiana.2001,1.15 ,0.20 ,0.62 ,1.97 ,9 
Indiana.2000,1.16 ,0.21 ,0.61 ,1.98 ,8 
Indiana.1999,1.16 ,0.19 ,0.59 ,1.94 ,8 
Indiana.1998,1.14 ,0.19 ,0.58 ,1.91 ,8 
Indiana.1997,1.12 ,0.19 ,0.59 ,1.90 ,8 
Indiana.1996,1.13 ,0.19 ,0.57 ,1.89 ,8 
Indiana.1995,1.12 ,0.21 ,0.58 ,1.91 ,8 
Indiana.1994,1.15 ,0.20 ,0.59 ,1.94 ,8 
Indiana.1993,1.15 ,0.19 ,0.64 ,1.98 ,8 
Indiana.1992,1.16 ,0.20 ,0.58 ,1.95 ,9 
Indiana.1991,1.22 ,0.19 ,0.60 ,2.00 ,9 
Indiana.1990,1.26 ,0.20 ,0.63 ,2.09 ,8 
Indiana.1989,1.21 ,0.19 ,0.63 ,2.04 ,8 
Indiana.1988,1.23 ,0.21 ,0.66 ,2.10 ,8 
Indiana.1987,1.24 ,0.22 ,0.67 ,2.13 ,8 
Indiana.1986,1.25 ,0.23 ,0.67 ,2.14 ,8 
Indiana.1985,1.25 ,0.22 ,0.72 ,2.19 ,8 
Indiana.1984,1.26 ,0.21 ,0.72 ,2.19 ,8 
Indiana.1983,1.27 ,0.19 ,0.73 ,2.19 ,8 
Indiana.1982,1.29 ,0.18 ,0.76 ,2.23 ,8 
Indiana.1981,1.29 ,0.18 ,0.78 ,2.25 ,8 
Indiana.1980,1.26 ,0.17 ,0.77 ,2.21 ,8 
Indiana.1979,1.23 ,0.15 ,0.79 ,2.18 ,9 
Indiana.1978,1.19 ,0.16 ,0.79 ,2.14 ,8 
Indiana.1977,1.14 ,0.14 ,0.77 ,2.05 ,9 
Iowa.2009,1.42 ,0.18 ,0.72 ,2.31 ,6 
Iowa.2008,1.41 ,0.17 ,0.70 ,2.29 ,7 
Iowa.2007,1.40 ,0.17 ,0.67 ,2.24 ,7 
Iowa.2006,1.38 ,0.16 ,0.65 ,2.19 ,7 
Iowa.2005,1.37 ,0.16 ,0.60 ,2.13 ,7 
Iowa.2004,1.37 ,0.16 ,0.57 ,2.09 ,7 
Iowa.2003,1.37 ,0.15 ,0.53 ,2.05 ,8 
Iowa.2002,1.37 ,0.14 ,0.51 ,2.02 ,8 
Iowa.2001,1.36 ,0.13 ,0.50 ,1.98 ,8 
Iowa.2000,1.35 ,0.13 ,0.50 ,1.98 ,8 
Iowa.1999,1.34 ,0.13 ,0.48 ,1.95 ,8 
Iowa.1998,1.31 ,0.12 ,0.46 ,1.90 ,8 
Iowa.1997,1.28 ,0.12 ,0.45 ,1.85 ,9 
Iowa.1996,1.28 ,0.12 ,0.45 ,1.85 ,9 
Iowa.1995,1.26 ,0.11 ,0.44 ,1.80 ,9 
Iowa.1994,1.30 ,0.10 ,0.44 ,1.84 ,9 
Iowa.1993,1.28 ,0.11 ,0.48 ,1.87 ,9 
Iowa.1992,1.31 ,0.13 ,0.46 ,1.90 ,9 
Iowa.1991,1.32 ,0.16 ,0.52 ,2.01 ,8 
Iowa.1990,1.34 ,0.18 ,0.54 ,2.06 ,9 
Iowa.1989,1.26 ,0.18 ,0.50 ,1.94 ,9 
Iowa.1988,1.28 ,0.20 ,0.52 ,1.99 ,9 
Iowa.1987,1.30 ,0.21 ,0.57 ,2.08 ,9 
Iowa.1986,1.32 ,0.19 ,0.53 ,2.04 ,9 
Iowa.1985,1.31 ,0.14 ,0.57 ,2.02 ,9 
Iowa.1984,1.36 ,0.12 ,0.61 ,2.09 ,9 
Iowa.1983,1.38 ,0.13 ,0.64 ,2.15 ,8 
Iowa.1982,1.39 ,0.13 ,0.65 ,2.17 ,9 
Iowa.1981,1.44 ,0.13 ,0.69 ,2.27 ,8 
Iowa.1980,1.41 ,0.13 ,0.71 ,2.25 ,8 
Iowa.1979,1.40 ,0.11 ,0.71 ,2.22 ,8 
Iowa.1978,1.38 ,0.11 ,0.74 ,2.22 ,8 
Iowa.1977,1.33 ,0.10 ,0.74 ,2.17 ,8 
Kansas.2009,1.18 ,0.14 ,0.67 ,1.99 ,9 
Kansas.2008,1.21 ,0.14 ,0.65 ,2.01 ,9 
Kansas.2007,1.17 ,0.15 ,0.64 ,1.96 ,9 
Kansas.2006,1.14 ,0.18 ,0.61 ,1.94 ,9 
Kansas.2005,1.14 ,0.18 ,0.57 ,1.88 ,9 
Kansas.2004,1.13 ,0.16 ,0.56 ,1.85 ,9 
Kansas.2003,1.15 ,0.17 ,0.56 ,1.88 ,10 
Kansas.2002,1.19 ,0.15 ,0.54 ,1.88 ,9 
Kansas.2001,1.12 ,0.15 ,0.53 ,1.79 ,9 
Kansas.2000,1.15 ,0.15 ,0.52 ,1.82 ,9 
Kansas.1999,1.14 ,0.16 ,0.54 ,1.84 ,9 
Kansas.1998,1.09 ,0.15 ,0.54 ,1.79 ,9 
Kansas.1997,1.09 ,0.14 ,0.48 ,1.71 ,10 
Kansas.1996,1.05 ,0.14 ,0.49 ,1.69 ,10 
Kansas.1995,1.08 ,0.15 ,0.50 ,1.72 ,9 
Kansas.1994,1.12 ,0.13 ,0.48 ,1.73 ,10 
Kansas.1993,1.09 ,0.14 ,0.52 ,1.75 ,10 
Kansas.1992,1.09 ,0.14 ,0.55 ,1.78 ,10 
Kansas.1991,1.15 ,0.14 ,0.57 ,1.85 ,9 
Kansas.1990,1.13 ,0.13 ,0.53 ,1.79 ,10 
Kansas.1989,1.10 ,0.13 ,0.54 ,1.77 ,10 
Kansas.1988,1.11 ,0.21 ,0.56 ,1.88 ,9 
Kansas.1987,1.12 ,0.16 ,0.56 ,1.84 ,9 
Kansas.1986,1.12 ,0.17 ,0.59 ,1.88 ,9 
Kansas.1985,1.17 ,0.15 ,0.64 ,1.96 ,9 
Kansas.1984,1.18 ,0.14 ,0.63 ,1.95 ,9 
Kansas.1983,1.20 ,0.13 ,0.64 ,1.96 ,9 
Kansas.1982,1.22 ,0.13 ,0.67 ,2.02 ,9 
Kansas.1981,1.23 ,0.12 ,0.70 ,2.05 ,9 
Kansas.1980,1.23 ,0.11 ,0.62 ,1.96 ,9 
Kansas.1979,1.17 ,0.11 ,0.73 ,2.01 ,9 
Kansas.1978,1.14 ,0.12 ,0.64 ,1.89 ,10 
Kansas.1977,1.13 ,0.10 ,0.65 ,1.88 ,10 
Kentucky.2009,1.11 ,0.18 ,0.65 ,1.94 ,10 
Kentucky.2008,1.03 ,0.18 ,0.65 ,1.86 ,10 
Kentucky.2007,1.05 ,0.17 ,0.63 ,1.85 ,10 
Kentucky.2006,1.04 ,0.17 ,0.62 ,1.83 ,10 
Kentucky.2005,1.05 ,0.14 ,0.61 ,1.80 ,10 
Kentucky.2004,1.07 ,0.17 ,0.57 ,1.81 ,10 
Kentucky.2003,1.03 ,0.15 ,0.56 ,1.74 ,10 
Kentucky.2002,1.08 ,0.14 ,0.54 ,1.76 ,10 
Kentucky.2001,1.04 ,0.12 ,0.46 ,1.63 ,10 
Kentucky.2000,1.07 ,0.14 ,0.54 ,1.74 ,10 
Kentucky.1999,1.07 ,0.13 ,0.54 ,1.74 ,10 
Kentucky.1998,1.07 ,0.13 ,0.53 ,1.72 ,10 
Kentucky.1997,1.06 ,0.13 ,0.53 ,1.72 ,9 
Kentucky.1996,1.05 ,0.13 ,0.54 ,1.72 ,10 
Kentucky.1995,1.05 ,0.12 ,0.54 ,1.71 ,10 
Kentucky.1994,1.08 ,0.11 ,0.55 ,1.73 ,10 
Kentucky.1993,1.08 ,0.10 ,0.55 ,1.73 ,10 
Kentucky.1992,1.04 ,0.11 ,0.56 ,1.71 ,10 
Kentucky.1991,1.11 ,0.11 ,0.56 ,1.78 ,10 
Kentucky.1990,1.12 ,0.11 ,0.60 ,1.83 ,10 
Kentucky.1989,1.08 ,0.12 ,0.56 ,1.76 ,10 
Kentucky.1988,1.08 ,0.12 ,0.59 ,1.79 ,10 
Kentucky.1987,1.03 ,0.14 ,0.59 ,1.76 ,10 
Kentucky.1986,1.09 ,0.13 ,0.62 ,1.84 ,10 
Kentucky.1985,1.07 ,0.13 ,0.66 ,1.86 ,10 
Kentucky.1984,1.05 ,0.12 ,0.68 ,1.85 ,10 
Kentucky.1983,1.13 ,0.12 ,0.69 ,1.94 ,9 
Kentucky.1982,1.14 ,0.12 ,0.73 ,1.99 ,9 
Kentucky.1981,1.13 ,0.11 ,0.75 ,1.99 ,9 
Kentucky.1980,1.08 ,0.10 ,0.74 ,1.91 ,10 
Kentucky.1979,1.10 ,0.09 ,0.77 ,1.97 ,10 
Kentucky.1978,1.07 ,0.09 ,0.77 ,1.93 ,10 
Kentucky.1977,1.19 ,0.09 ,0.75 ,2.03 ,9 
Louisiana.2009,1.50 ,0.28 ,0.85 ,2.63 ,3 
Louisiana.2008,1.56 ,0.27 ,0.83 ,2.66 ,3 
Louisiana.2007,1.57 ,0.28 ,0.81 ,2.65 ,3 
Louisiana.2006,1.61 ,0.25 ,0.80 ,2.66 ,3 
Louisiana.2005,1.47 ,0.24 ,0.72 ,2.43 ,5 
Louisiana.2004,1.39 ,0.26 ,0.73 ,2.38 ,5 
Louisiana.2003,1.42 ,0.25 ,0.73 ,2.39 ,4 
Louisiana.2002,1.33 ,0.24 ,0.71 ,2.27 ,5 
Louisiana.2001,1.49 ,0.23 ,0.69 ,2.41 ,3 
Louisiana.2000,1.50 ,0.22 ,0.70 ,2.43 ,3 
Louisiana.1999,1.54 ,0.24 ,0.69 ,2.46 ,2 
Louisiana.1998,1.50 ,0.23 ,0.70 ,2.43 ,3 
Louisiana.1997,1.50 ,0.23 ,0.71 ,2.44 ,2 
Louisiana.1996,1.50 ,0.22 ,0.72 ,2.44 ,2 
Louisiana.1995,1.55 ,0.21 ,0.73 ,2.50 ,2 
Louisiana.1994,1.45 ,0.21 ,0.73 ,2.39 ,3 
Louisiana.1993,1.53 ,0.21 ,0.72 ,2.47 ,3 
Louisiana.1992,1.55 ,0.22 ,0.74 ,2.51 ,3 
Louisiana.1991,1.52 ,0.21 ,0.73 ,2.46 ,4 
Louisiana.1990,1.53 ,0.23 ,0.78 ,2.54 ,5 
Louisiana.1989,1.43 ,0.23 ,0.72 ,2.38 ,6 
Louisiana.1988,1.44 ,0.24 ,0.69 ,2.37 ,7 
Louisiana.1987,1.36 ,0.24 ,0.75 ,2.34 ,7 
Louisiana.1986,1.39 ,0.26 ,0.78 ,2.42 ,7 
Louisiana.1985,1.35 ,0.27 ,0.86 ,2.49 ,6 
Louisiana.1984,1.40 ,0.29 ,0.94 ,2.63 ,6 
Louisiana.1983,1.43 ,0.30 ,1.02 ,2.75 ,5 
Louisiana.1982,1.49 ,0.30 ,1.00 ,2.78 ,5 
Louisiana.1981,1.48 ,0.27 ,1.02 ,2.77 ,6 
Louisiana.1980,1.41 ,0.27 ,1.04 ,2.71 ,6 
Louisiana.1979,1.36 ,0.26 ,1.08 ,2.70 ,6 
Louisiana.1978,1.35 ,0.25 ,1.07 ,2.67 ,6 
Louisiana.1977,1.30 ,0.25 ,1.03 ,2.57 ,6 
Maine.2009,1.24 ,0.42 ,0.83 ,2.48 ,4 
Maine.2008,1.26 ,0.42 ,0.82 ,2.50 ,5 
Maine.2007,1.27 ,0.43 ,0.80 ,2.49 ,4 
Maine.2006,1.26 ,0.42 ,0.79 ,2.47 ,4 
Maine.2005,1.24 ,0.41 ,0.77 ,2.42 ,5 
Maine.2004,1.24 ,0.41 ,0.76 ,2.41 ,4 
Maine.2003,1.24 ,0.39 ,0.73 ,2.36 ,5 
Maine.2002,1.23 ,0.39 ,0.69 ,2.31 ,5 
Maine.2001,1.20 ,0.37 ,0.69 ,2.26 ,5 
Maine.2000,1.17 ,0.39 ,0.73 ,2.29 ,5 
Maine.1999,1.16 ,0.37 ,0.73 ,2.26 ,5 
Maine.1998,1.14 ,0.34 ,0.68 ,2.16 ,6 
Maine.1997,1.15 ,0.33 ,0.71 ,2.19 ,5 
Maine.1996,1.17 ,0.33 ,0.71 ,2.22 ,5 
Maine.1995,1.17 ,0.29 ,0.72 ,2.19 ,6 
Maine.1994,1.13 ,0.27 ,0.77 ,2.17 ,6 
Maine.1993,1.15 ,0.29 ,0.79 ,2.22 ,6 
Maine.1992,1.16 ,0.29 ,0.78 ,2.23 ,6 
Maine.1991,1.18 ,0.30 ,0.77 ,2.25 ,6 
Maine.1990,1.21 ,0.31 ,0.82 ,2.34 ,6 
Maine.1989,1.25 ,0.34 ,0.85 ,2.44 ,5 
Maine.1988,1.28 ,0.36 ,0.91 ,2.54 ,5 
Maine.1987,1.26 ,0.38 ,0.91 ,2.55 ,5 
Maine.1986,1.28 ,0.36 ,0.91 ,2.56 ,5 
Maine.1985,1.29 ,0.33 ,0.94 ,2.56 ,6 
Maine.1984,1.25 ,0.31 ,1.01 ,2.57 ,6 
Maine.1983,1.32 ,0.29 ,1.03 ,2.63 ,6 
Maine.1982,1.30 ,0.30 ,1.02 ,2.63 ,6 
Maine.1981,1.24 ,0.28 ,1.05 ,2.57 ,7 
Maine.1980,1.32 ,0.29 ,1.06 ,2.67 ,6 
Maine.1979,1.30 ,0.27 ,1.08 ,2.65 ,6 
Maine.1978,1.31 ,0.27 ,1.05 ,2.62 ,6 
Maine.1977,1.37 ,0.23 ,1.04 ,2.64 ,6 
Maryland.2009,0.97 ,0.37 ,0.87 ,2.21 ,7 
Maryland.2008,0.99 ,0.36 ,0.85 ,2.21 ,7 
Maryland.2007,1.01 ,0.36 ,0.84 ,2.21 ,7 
Maryland.2006,1.02 ,0.34 ,0.83 ,2.19 ,7 
Maryland.2005,0.93 ,0.32 ,0.85 ,2.11 ,7 
Maryland.2004,1.03 ,0.33 ,0.79 ,2.15 ,7 
Maryland.2003,1.02 ,0.32 ,0.77 ,2.11 ,7 
Maryland.2002,1.05 ,0.31 ,0.75 ,2.11 ,7 
Maryland.2001,1.06 ,0.30 ,0.75 ,2.11 ,7 
Maryland.2000,1.04 ,0.30 ,0.75 ,2.09 ,7 
Maryland.1999,1.04 ,0.30 ,0.74 ,2.08 ,7 
Maryland.1998,1.05 ,0.30 ,0.73 ,2.08 ,7 
Maryland.1997,1.05 ,0.29 ,0.73 ,2.07 ,7 
Maryland.1996,1.05 ,0.29 ,0.74 ,2.08 ,7 
Maryland.1995,1.06 ,0.28 ,0.74 ,2.09 ,7 
Maryland.1994,1.09 ,0.28 ,0.78 ,2.15 ,6 
Maryland.1993,1.10 ,0.28 ,0.80 ,2.19 ,7 
Maryland.1992,1.11 ,0.29 ,0.86 ,2.26 ,6 
Maryland.1991,1.15 ,0.30 ,0.89 ,2.33 ,6 
Maryland.1990,1.22 ,0.33 ,0.96 ,2.51 ,5 
Maryland.1989,1.22 ,0.34 ,0.98 ,2.54 ,4 
Maryland.1988,1.26 ,0.36 ,1.01 ,2.62 ,4 
Maryland.1987,1.29 ,0.38 ,1.07 ,2.74 ,3 
Maryland.1986,1.29 ,0.39 ,1.08 ,2.75 ,4 
Maryland.1985,1.31 ,0.36 ,1.14 ,2.81 ,4 
Maryland.1984,1.31 ,0.36 ,1.17 ,2.84 ,4 
Maryland.1983,1.34 ,0.35 ,1.20 ,2.89 ,4 
Maryland.1982,1.27 ,0.32 ,1.17 ,2.77 ,5 
Maryland.1981,1.39 ,0.34 ,1.33 ,3.06 ,4 
Maryland.1980,1.42 ,0.33 ,1.35 ,3.09 ,4 
Maryland.1979,1.43 ,0.31 ,1.39 ,3.14 ,3 
Maryland.1978,1.41 ,0.31 ,1.38 ,3.09 ,3 
Maryland.1977,1.37 ,0.30 ,1.39 ,3.05 ,3 
Massachusetts.2009,1.02 ,0.61 ,0.84 ,2.47 ,5 
Massachusetts.2008,1.07 ,0.62 ,0.84 ,2.53 ,4 
Massachusetts.2007,1.01 ,0.61 ,0.86 ,2.48 ,5 
Massachusetts.2006,1.10 ,0.61 ,0.84 ,2.55 ,3 
Massachusetts.2005,1.07 ,0.59 ,0.85 ,2.50 ,3 
Massachusetts.2004,1.10 ,0.58 ,0.84 ,2.52 ,3 
Massachusetts.2003,1.10 ,0.56 ,0.82 ,2.48 ,3 
Massachusetts.2002,1.13 ,0.54 ,0.80 ,2.46 ,3 
Massachusetts.2001,1.12 ,0.52 ,0.78 ,2.43 ,3 
Massachusetts.2000,1.16 ,0.51 ,0.87 ,2.55 ,2 
Massachusetts.1999,1.09 ,0.51 ,0.79 ,2.39 ,3 
Massachusetts.1998,1.14 ,0.50 ,0.75 ,2.39 ,3 
Massachusetts.1997,1.13 ,0.49 ,0.76 ,2.39 ,3 
Massachusetts.1996,1.11 ,0.48 ,0.77 ,2.35 ,3 
Massachusetts.1995,1.13 ,0.44 ,0.78 ,2.35 ,3 
Massachusetts.1994,1.14 ,0.44 ,0.80 ,2.38 ,3 
Massachusetts.1993,1.14 ,0.44 ,0.80 ,2.38 ,4 
Massachusetts.1992,1.12 ,0.44 ,0.82 ,2.38 ,5 
Massachusetts.1991,1.19 ,0.43 ,0.87 ,2.49 ,3 
Massachusetts.1990,1.22 ,0.45 ,0.97 ,2.63 ,3 
Massachusetts.1989,1.26 ,0.47 ,1.02 ,2.75 ,3 
Massachusetts.1988,1.29 ,0.50 ,1.07 ,2.86 ,3 
Massachusetts.1987,1.29 ,0.51 ,1.12 ,2.93 ,3 
Massachusetts.1986,1.31 ,0.53 ,1.12 ,2.96 ,3 
Massachusetts.1985,1.30 ,0.51 ,1.21 ,3.01 ,3 
Massachusetts.1984,1.30 ,0.51 ,1.24 ,3.04 ,3 
Massachusetts.1983,1.36 ,0.50 ,1.21 ,3.07 ,3 
Massachusetts.1982,1.35 ,0.49 ,1.22 ,3.07 ,3 
Massachusetts.1981,1.44 ,0.49 ,1.24 ,3.17 ,3 
Massachusetts.1980,1.47 ,0.45 ,1.27 ,3.19 ,3 
Massachusetts.1979,1.39 ,0.42 ,1.23 ,3.04 ,4 
Massachusetts.1978,1.37 ,0.40 ,1.25 ,3.02 ,4 
Massachusetts.1977,1.34 ,0.37 ,1.24 ,2.95 ,3 
Michigan.2009,1.10 ,0.31 ,0.80 ,2.22 ,7 
Michigan.2008,1.12 ,0.30 ,0.80 ,2.22 ,7 
Michigan.2007,1.12 ,0.30 ,0.78 ,2.19 ,7 
Michigan.2006,1.12 ,0.29 ,0.76 ,2.17 ,7 
Michigan.2005,1.14 ,0.28 ,0.75 ,2.17 ,7 
Michigan.2004,1.15 ,0.28 ,0.72 ,2.15 ,7 
Michigan.2003,1.17 ,0.26 ,0.70 ,2.13 ,7 
Michigan.2002,1.16 ,0.23 ,0.68 ,2.07 ,7 
Michigan.2001,1.19 ,0.24 ,0.68 ,2.10 ,7 
Michigan.2000,1.19 ,0.24 ,0.69 ,2.12 ,7 
Michigan.1999,1.19 ,0.24 ,0.68 ,2.11 ,7 
Michigan.1998,1.20 ,0.22 ,0.69 ,2.12 ,7 
Michigan.1997,1.17 ,0.22 ,0.66 ,2.06 ,7 
Michigan.1996,1.20 ,0.22 ,0.67 ,2.08 ,7 
Michigan.1995,1.20 ,0.19 ,0.66 ,2.06 ,7 
Michigan.1994,1.23 ,0.20 ,0.67 ,2.10 ,7 
Michigan.1993,1.25 ,0.20 ,0.72 ,2.18 ,7 
Michigan.1992,1.26 ,0.22 ,0.74 ,2.21 ,7 
Michigan.1991,1.30 ,0.22 ,0.74 ,2.26 ,6 
Michigan.1990,1.33 ,0.28 ,0.80 ,2.42 ,6 
Michigan.1989,1.29 ,0.30 ,0.80 ,2.38 ,6 
Michigan.1988,1.31 ,0.32 ,0.84 ,2.47 ,6 
Michigan.1987,1.32 ,0.33 ,0.85 ,2.50 ,6 
Michigan.1986,1.33 ,0.33 ,0.90 ,2.56 ,5 
Michigan.1985,1.30 ,0.32 ,0.95 ,2.58 ,6 
Michigan.1984,1.32 ,0.31 ,0.97 ,2.60 ,6 
Michigan.1983,1.35 ,0.28 ,0.97 ,2.60 ,6 
Michigan.1982,1.35 ,0.39 ,0.98 ,2.72 ,6 
Michigan.1981,1.34 ,0.29 ,1.00 ,2.63 ,6 
Michigan.1980,1.34 ,0.28 ,1.03 ,2.65 ,6 
Michigan.1979,1.37 ,0.25 ,1.03 ,2.65 ,6 
Michigan.1978,1.43 ,0.25 ,1.05 ,2.74 ,5 
Michigan.1977,1.45 ,0.24 ,1.02 ,2.71 ,5 
Minnesota.2009,1.19 ,0.37 ,1.04 ,2.59 ,4 
Minnesota.2008,1.21 ,0.37 ,1.03 ,2.60 ,4 
Minnesota.2007,1.16 ,0.36 ,0.97 ,2.49 ,4 
Minnesota.2006,1.15 ,0.32 ,0.93 ,2.40 ,5 
Minnesota.2005,1.18 ,0.32 ,0.96 ,2.47 ,4 
Minnesota.2004,1.23 ,0.31 ,0.93 ,2.47 ,3 
Minnesota.2003,1.21 ,0.29 ,0.90 ,2.41 ,4 
Minnesota.2002,1.25 ,0.28 ,0.87 ,2.40 ,4 
Minnesota.2001,1.25 ,0.26 ,0.87 ,2.38 ,4 
Minnesota.2000,1.24 ,0.26 ,0.87 ,2.37 ,4 
Minnesota.1999,1.23 ,0.27 ,0.86 ,2.36 ,4 
Minnesota.1998,1.16 ,0.27 ,0.84 ,2.27 ,4 
Minnesota.1997,1.23 ,0.27 ,0.83 ,2.33 ,3 
Minnesota.1996,1.25 ,0.26 ,0.83 ,2.34 ,4 
Minnesota.1995,1.24 ,0.26 ,0.83 ,2.32 ,3 
Minnesota.1994,1.27 ,0.25 ,0.83 ,2.35 ,4 
Minnesota.1993,1.24 ,0.24 ,0.84 ,2.33 ,5 
Minnesota.1992,1.25 ,0.25 ,0.85 ,2.35 ,5 
Minnesota.1991,1.30 ,0.24 ,0.81 ,2.35 ,5 
Minnesota.1990,1.32 ,0.27 ,0.96 ,2.55 ,4 
Minnesota.1989,1.28 ,0.27 ,0.88 ,2.43 ,5 
Minnesota.1988,1.30 ,0.30 ,0.89 ,2.49 ,5 
Minnesota.1987,1.31 ,0.32 ,0.94 ,2.56 ,5 
Minnesota.1986,1.30 ,0.33 ,0.92 ,2.56 ,6 
Minnesota.1985,1.31 ,0.31 ,1.06 ,2.68 ,5 
Minnesota.1984,1.34 ,0.28 ,1.07 ,2.68 ,5 
